Timestamp;item 558;item 834;item 883;item 1311;item 1396;item 1647;item 1689;item 1761;item 1969;item 2036;item 2238;item 2697;item 2826;item 7968;item 8670;item 9018;item 9626;item 10113;item 10654;item 10864;item 11402;item 11865;item 13233;item 13461;item 14157;item 14202;item 14435;item 14475;item 14679;item 14870;item 15109;item 15141;item 15325;item 15342;item 15405;item 15925;item 16460;item 16530;item 17254;item 17273;item 17275;item 17277;item 17304;item 17314;item 17746;item 18071;item 18495;item 19810;item 19811;item 19812;item 20004;item 20076;item 20186;item 20213;item 21061;item 21064;item 21066;item 21190;item 21251;item 21529;item 21530;item 21761;item 22291;item 22476;item 23384;item 23600;item 24771;item 24864;item 24991;item 25386;item 25626;item 25841;item 26452;item 26785;item 26890;item 27063;item 28079;item 28090;item 29362;item 29726;item 29941;item 30655;item 32337;item 32345;item 32964;item 34077;item 34121;item 34122;item 34631;item 34824;item 34893;item 35057;item 37213;item 37469;item 37594;item 37876;item 38007;item 38406;item 38415;item 39222;item 39369;item 40085;item 41004;item 41560;item 41784;item 41994;item 41995;item 42079;item 42356;item 42793;item 43639;item 43809;item 44115;item 45073;item 45341;item 46030;item 46108;item 46805;item 48072;item 50966;item 52425;item 53205;item 53832;item 54017;item 54581;item 54606;item 55515;item 55517;item 56486;item 58076;item 59696;item 61583;item 61969;item 62734;item 64605;item 64742;item 65520;item 68836;item 69922;item 73339;item 73594;item 76033;item 76075;item 76268;item 76365;item 77539;item 79279;item 80510;item 82356;item 87639;item 88121;item 89103;item 89977;item 95417;item 96668
03.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.10.2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.10.2005;0.992567545;;;;;;;;1;;;;;;;;1;;;4;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;0;0;;;1;;;;;;;;;;;;;1;;;;;0;0;1;;;;1;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;
12.10.2005;0.638689328;;;;;;;;4;;;;;;;;4;;;8;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;0;0;;;0;;;;;;;;;;;;;0;;;;;0;2;1;;;;0;;;;;;;;;;;;;0;;2;;0;0;6;;;;;;;;;;;;;;;;;;;;;
13.10.2005;-0.302396912;;;;;;;;1;;;;;;;;2;;;6;;;1;;;;;;;;;;;;;;;;;;5;;;;0;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;0;;;;;;;1;0;;;0;;;8;;;;;;;;;;0;;;;;3;2;4;;;;3;;;;;;;;;;;;;5;;0;;1;1;13;;;;;;;;;;;;;;;;;;;;;
14.10.2005;-0.965460826;;;;;;;;2;;;;;;;;3;;;11;;;3;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;1;;;17;;;;;;;;;;0;;;;;2;4;2;;;;1;;;;;;;;;;;;;2;;0;;0;0;7;;;;;;;;;;;;;;;;;;;;;
15.10.2005;-0.740884508;;;;;;;;1;;;;;;;;1;;;2;;;0;;;;;;;;;;;;;;;;;;0;;;;0;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;0;;;1;;;1;;;;;;;0;;;;;0;0;;;;;1;;;;;;;;;;;;;1;;0;;0;2;2;;;;;;;;;;;;;;;;;;;;;
