
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/RankNet.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 5.0E-5

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.2847         | 0.6571    | 0.5864    | 
2       | 0.2498         | 0.6571    | 0.5887    | 
3       | 0.243          | 0.6578    | 0.5886    | 
4       | 0.2355         | 0.6566    | 0.5882    | 
5       | 0.23           | 0.6556    | 0.5882    | 
6       | 0.225          | 0.6558    | 0.5882    | 
7       | 0.2216         | 0.6572    | 0.5863    | 
8       | 0.2163         | 0.6543    | 0.5865    | 
9       | 0.2093         | 0.6528    | 0.5858    | 
10      | 0.1951         | 0.6538    | 0.5849    | 
11      | 0.1684         | 0.6514    | 0.585     | 
12      | 0.1517         | 0.6501    | 0.586     | 
13      | 0.1495         | 0.6515    | 0.5848    | 
14      | 0.1477         | 0.6512    | 0.584     | 
15      | 0.1472         | 0.6499    | 0.5833    | 
16      | 0.1447         | 0.6499    | 0.5818    | 
17      | 0.1437         | 0.6506    | 0.5808    | 
18      | 0.1447         | 0.6483    | 0.5802    | 
19      | 0.1437         | 0.6492    | 0.5804    | 
20      | 0.1427         | 0.648     | 0.5805    | 
21      | 0.1417         | 0.6479    | 0.5787    | 
22      | 0.1427         | 0.6448    | 0.5795    | 
23      | 0.144          | 0.6458    | 0.5804    | 
24      | 0.1445         | 0.6443    | 0.5794    | 
25      | 0.144          | 0.6442    | 0.5773    | 
26      | 0.1457         | 0.6399    | 0.5771    | 
27      | 0.1462         | 0.6376    | 0.5756    | 
