Dates	EnergyCons	Dev	WeekDay
2005-01-01 00:00	1290	-11	6
2005-1-1 1:0	1266	-12	6
2005-1-1 2:0	1273	-13	6
2005-1-1 3:0	1280	-14	6
2005-1-1 4:0	1293	-15	6
2005-1-1 5:0	1263	-16	6
2005-1-1 6:0	1279	-16	6
2005-1-1 7:0	1304	-16	6
2005-1-1 8:0	1330	-16	6
2005-1-1 9:0	1319	-17	6
2005-1-1 10:0	1300	-16	6
2005-1-1 11:0	1304	-15	6
2005-1-1 12:0	1328	-16	6
2005-1-1 13:0	1441	-16	6
2005-1-1 14:0	1559	-17	6
2005-1-1 15:0	1538	-18	6
2005-1-1 16:0	1542	-19	6
2005-1-1 17:0	1521	-18	6
2005-1-1 18:0	1523	-19	6
2005-1-1 19:0	1481	-20	6
2005-1-1 20:0	1414	-20	6
2005-1-1 21:0	1359	-21	6
2005-1-1 22:0	1295	-23	6
2005-1-1 23:0	1262	-24	6
2005-1-2 0:0	1253	-24	7
2005-1-2 1:0	1259	-24	7
2005-1-2 2:0	1264	-25	7
2005-1-2 3:0	1325	-25	7
2005-1-2 4:0	1359	-26	7
2005-1-2 5:0	1351	-26	7
2005-1-2 6:0	1400	-26	7
2005-1-2 7:0	1497	-25	7
2005-1-2 8:0	1544	-24	7
2005-1-2 9:0	1505	-21	7
2005-1-2 10:0	1480	-19	7
2005-1-2 11:0	1467	-18	7
2005-1-2 12:0	1498	-17	7
2005-1-2 13:0	1596	-17	7
2005-1-2 14:0	1672	-17	7
2005-1-2 15:0	1645	-16	7
2005-1-2 16:0	1607	-15	7
2005-1-2 17:0	1573	-15	7
2005-1-2 18:0	1586	-14	7
2005-1-2 19:0	1528	-14	7
2005-1-2 20:0	1446	-15	7
2005-1-2 21:0	1376	-15	7
2005-1-2 22:0	1302	-14	7
2005-1-2 23:0	1277	-14	7
2005-1-3 0:0	1256	-14	1
2005-1-3 1:0	1262	-13	1
2005-1-3 2:0	1262	-13	1
2005-1-3 3:0	1333	-12	1
2005-1-3 4:0	1387	-12	1
2005-1-3 5:0	1394	-12	1
2005-1-3 6:0	1432	-12	1
2005-1-3 7:0	1519	-11	1
2005-1-3 8:0	1560	-10	1
2005-1-3 9:0	1559	-10	1
2005-1-3 10:0	1551	-9	1
2005-1-3 11:0	1553	-9	1
2005-1-3 12:0	1574	-8	1
2005-1-3 13:0	1643	-7	1
2005-1-3 14:0	1718	-7	1
2005-1-3 15:0	1674	-7	1
2005-1-3 16:0	1644	-7	1
2005-1-3 17:0	1604	-8	1
2005-1-3 18:0	1573	-8	1
2005-1-3 19:0	1505	-9	1
2005-1-3 20:0	1407	-10	1
2005-1-3 21:0	1313	-11	1
2005-1-3 22:0	1239	-11	1
2005-1-3 23:0	1201	-11	1
2005-1-4 0:0	1202	-11	2
2005-1-4 1:0	1209	-11	2
2005-1-4 2:0	1220	-11	2
2005-1-4 3:0	1300	-11	2
2005-1-4 4:0	1335	-11	2
2005-1-4 5:0	1417	-12	2
2005-1-4 6:0	1488	-11	2
2005-1-4 7:0	1556	-11	2
2005-1-4 8:0	1578	-10	2
2005-1-4 9:0	1575	-10	2
2005-1-4 10:0	1599	-9	2
2005-1-4 11:0	1603	-9	2
2005-1-4 12:0	1608	-10	2
2005-1-4 13:0	1682	-10	2
2005-1-4 14:0	1792	-11	2
2005-1-4 15:0	1754	-11	2
2005-1-4 16:0	1727	-11	2
2005-1-4 17:0	1675	-12	2
2005-1-4 18:0	1655	-12	2
2005-1-4 19:0	1569	-12	2
2005-1-4 20:0	1492	-12	2
2005-1-4 21:0	1392	-12	2
2005-1-4 22:0	1314	-12	2
2005-1-4 23:0	1301	-11	2
2005-1-5 0:0	1292	-11	3
2005-1-5 1:0	1275	-12	3
2005-1-5 2:0	1300	-12	3
2005-1-5 3:0	1365	-12	3
2005-1-5 4:0	1427	-13	3
2005-1-5 5:0	1502	-14	3
2005-1-5 6:0	1563	-14	3
2005-1-5 7:0	1586	-13	3
2005-1-5 8:0	1588	-13	3
2005-1-5 9:0	1589	-12	3
2005-1-5 10:0	1598	-12	3
2005-1-5 11:0	1596	-12	3
2005-1-5 12:0	1609	-12	3
2005-1-5 13:0	1733	-13	3
2005-1-5 14:0	1812	-14	3
2005-1-5 15:0	1798	-14	3
2005-1-5 16:0	1752	-14	3
2005-1-5 17:0	1698	-14	3
2005-1-5 18:0	1672	-15	3
2005-1-5 19:0	1618	-15	3
2005-1-5 20:0	1506	-15	3
2005-1-5 21:0	1405	-15	3
2005-1-5 22:0	1342	-15	3
2005-1-5 23:0	1330	-15	3
2005-1-6 0:0	1312	-15	4
2005-1-6 1:0	1311	-15	4
2005-1-6 2:0	1353	-16	4
2005-1-6 3:0	1416	-16	4
2005-1-6 4:0	1479	-17	4
2005-1-6 5:0	1540	-18	4
2005-1-6 6:0	1600	-17	4
2005-1-6 7:0	1620	-16	4
2005-1-6 8:0	1644	-15	4
2005-1-6 9:0	1631	-14	4
2005-1-6 10:0	1610	-14	4
2005-1-6 11:0	1597	-13	4
2005-1-6 12:0	1633	-13	4
2005-1-6 13:0	1748	-14	4
2005-1-6 14:0	1854	-14	4
2005-1-6 15:0	1786	-15	4
2005-1-6 16:0	1738	-15	4
2005-1-6 17:0	1686	-16	4
2005-1-6 18:0	1683	-16	4
2005-1-6 19:0	1603	-16	4
2005-1-6 20:0	1516	-17	4
2005-1-6 21:0	1423	-18	4
2005-1-6 22:0	1350	-17	4
2005-1-6 23:0	1317	-16	4
2005-1-7 0:0	1297	-16	5
2005-1-7 1:0	1303	-16	5
2005-1-7 2:0	1308	-15	5
2005-1-7 3:0	1358	-16	5
2005-1-7 4:0	1354	-17	5
2005-1-7 5:0	1404	-18	5
2005-1-7 6:0	1459	-17	5
2005-1-7 7:0	1487	-17	5
2005-1-7 8:0	1505	-16	5
2005-1-7 9:0	1498	-12	5
2005-1-7 10:0	1500	-10	5
2005-1-7 11:0	1467	-10	5
2005-1-7 12:0	1497	-10	5
2005-1-7 13:0	1592	-10	5
2005-1-7 14:0	1671	-10	5
2005-1-7 15:0	1636	-10	5
2005-1-7 16:0	1626	-10	5
2005-1-7 17:0	1599	-10	5
2005-1-7 18:0	1597	-10	5
2005-1-7 19:0	1531	-10	5
2005-1-7 20:0	1457	-10	5
2005-1-7 21:0	1377	-10	5
2005-1-7 22:0	1302	-10	5
2005-1-7 23:0	1256	-10	5
2005-1-8 0:0	1257	-10	6
2005-1-8 1:0	1267	-10	6
2005-1-8 2:0	1274	-10	6
2005-1-8 3:0	1339	-10	6
2005-1-8 4:0	1376	-9	6
2005-1-8 5:0	1400	-9	6
2005-1-8 6:0	1439	-9	6
2005-1-8 7:0	1504	-9	6
2005-1-8 8:0	1557	-8	6
2005-1-8 9:0	1518	-8	6
2005-1-8 10:0	1500	-7	6
2005-1-8 11:0	1501	-7	6
2005-1-8 12:0	1546	-8	6
2005-1-8 13:0	1645	-8	6
2005-1-8 14:0	1718	-8	6
2005-1-8 15:0	1701	-7	6
2005-1-8 16:0	1655	-7	6
2005-1-8 17:0	1635	-7	6
2005-1-8 18:0	1616	-7	6
2005-1-8 19:0	1530	-6	6
2005-1-8 20:0	1435	-6	6
2005-1-8 21:0	1349	-6	6
2005-1-8 22:0	1266	-6	6
2005-1-8 23:0	1247	-6	6
2005-1-9 0:0	1227	-6	7
2005-1-9 1:0	1252	-6	7
2005-1-9 2:0	1250	-6	7
2005-1-9 3:0	1298	-5	7
2005-1-9 4:0	1355	-6	7
2005-1-9 5:0	1384	-7	7
2005-1-9 6:0	1432	-8	7
2005-1-9 7:0	1478	-7	7
2005-1-9 8:0	1507	-6	7
2005-1-9 9:0	1480	-5	7
2005-1-9 10:0	1503	-5	7
2005-1-9 11:0	1526	-5	7
2005-1-9 12:0	1536	-4	7
2005-1-9 13:0	1591	-5	7
2005-1-9 14:0	1714	-5	7
2005-1-9 15:0	1717	-5	7
2005-1-9 16:0	1668	-5	7
2005-1-9 17:0	1638	-5	7
2005-1-9 18:0	1626	-6	7
2005-1-9 19:0	1542	-6	7
2005-1-9 20:0	1432	-6	7
2005-1-9 21:0	1319	-6	7
2005-1-9 22:0	1284	-6	7
2005-1-9 23:0	1249	-7	7
2005-1-10 0:0	1242	-7	1
2005-1-10 1:0	1237	-7	1
2005-1-10 2:0	1260	-8	1
2005-1-10 3:0	1346	-8	1
