Hub,ZSP,Date,EnergyConsump,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Saturday,Sunday,Temp1_South_Less,Temp2_South_Less,Temp3_South_Less,Temp4_South_Less,Temp1_South_Gr,Temp2_South_Gr,Temp3_South_Gr,Temp4_South_Gr
Center,FZSZOE27,2010-01-01,147487.17100000003,-17.8,-16.9,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-02,155433.80000000002,-17.8,-20.3,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-03,164140.23200000002,-16.4,-24.0,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-04,171382.848,-10.2,-15.7,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-05,170188.28999999998,-7.2,-8.8,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-06,168969.315,-8.0,-18.6,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-07,164772.82099999997,-9.7,-19.5,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-08,169338.9,-13.3,-18.0,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-09,170479.03100000002,-15.9,-22.3,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-10,172054.265,-12.7,-18.0,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-11,181911.973,-6.5,-9.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-12,180030.25999999998,-4.3,-4.9,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-13,183723.36999999997,-4.5,-7.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-14,182995.36299999998,-5.0,-10.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-15,183101.29400000002,-7.3,-11.4,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-16,174661.51499999998,-6.5,-9.5,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-17,175419.75999999998,-10.5,-11.8,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-18,186963.70600000006,-15.5,-10.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-19,188079.81999999995,-18.0,-16.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-20,191623.055,-20.2,-20.2,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-21,194204.024,-20.7,-24.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-22,197404.31199999998,-20.1,-25.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-23,189499.46,-22.7,-24.8,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-24,189033.418,-21.0,-26.4,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-01-25,199519.915,-16.0,-19.4,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-26,201355.85400000005,-18.0,-22.8,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-27,201561.554,-21.3,-23.9,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-28,201661.80399999997,-20.7,-22.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-29,199801.03599999996,-13.1,-16.4,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-30,183703.915,-8.4,-13.5,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-01-31,181539.02699999997,-5.9,-8.4,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-02-01,192978.715,-7.0,-6.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-02,182872.05299999996,-2.0,-4.3,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-03,180431.961,-5.8,-9.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-04,181718.53199999998,-3.7,-7.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-05,181376.855,-4.7,-6.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-06,168679.881,-9.5,-7.1,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-07,167779.09800000003,-9.6,-7.5,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-02-08,182040.772,-9.4,-8.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-09,179410.528,-11.9,-13.6,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-10,178677.21399999998,-12.8,-16.7,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-11,181368.22199999998,-8.3,-15.4,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-12,179700.79900000003,-5.9,-14.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-13,168687.29600000003,-9.3,-18.0,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-14,166846.69499999995,-11.6,-16.0,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-02-15,181622.161,-12.5,-12.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-16,182420.084,-9.1,-13.3,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-17,182990.347,-13.0,-19.6,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-18,183458.436,-15.9,-22.1,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-19,186369.872,-19.0,-24.0,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-20,177503.16299999997,-22.2,-26.4,,,,,,1.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-21,181324.872,-17.9,-21.2,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-02-22,182065.99699999997,-12.2,-16.7,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-02-23,180178.82899999997,-7.0,-14.5,,,,,,0.0,1.0,,,,,,,,
Center,FZSZOE27,2010-02-24,185975.67400000003,-6.0,-14.5,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-25,181173.608,-6.8,-19.4,,,,,,0.0,0.0,,,,,,,,
Center,FZSZOE27,2010-02-26,176967.072,-5.5,-11.5,,,,,,0.0,0.0,,,,,,,,
