Timestamp;item 1758;item 40010;item 35731;item 96474;item 97519;item 75501;item 95519;item 93400;item 99826;item 57813;item 19765;item 73140;item 34535;item 100162;item 95431;item 33252;item 71171;item 18065;item 40692;item 16447;item 41126;item 32218;item 82195;item 21329;item 41520;item 56324;item 82269;item 89407;item 86025;item 33276;item 51600;item 94986;item 70328;item 98798;item 2036;item 91168;item 73716;item 88273;item 25170;item 28755;item 99297;item 88274;item 26785;item 76021;item 32919;item 27375;item 94337;item 28291;item 71983;item 18272;item 77826;item 100399;item 59875;item 39062;item 76210;item 87297;item 90251;item 33261;item 25176;item 97336;item 3480;item 35535;item 43640;item 29388;item 97664;item 25761;item 75798;item 44060;item 23127;item 98918;item 30048;item 65016;item 97666;item 83685;item 96880;item 70166;item 50627;item 28959;item 80912;item 40909;item 87970;item 83140;item 29673;item 14226;item 94387;item 37104;item 12558;item 42344;item 51811;item 42887;item 49550;item 30509;item 45937;item 87475;item 95527;item 65825;item 31454;item 29014;item 49139;item 42190;item 8110;item 80718;item 29092;item 76501;item 32258
12.05.2005;0;0;2,484;0;0;1,334;1;1;2;0;3;2;1;0;4;0;3,934;2;0;4;4;1;8;0;1;2;1;3;2;2;2;0;1;4,93;5;2,162;0;6;0;1;1;0;0;3;1;5;3;5;8;4;7;1;0;2;2;2;6;2;4;3;4;3;5;3;14;9;2;3;5;5;9;4;8;4;3;0;3;0;0;3;4;0;3;4;18;4;0;7;12;9;10;14;11;16;0;7;12;0;66,324;32,864;12;23;63;14;177
13.05.2005;0,878;0,983;2,632;1,12;1;3,514;4;0;1;0;1;4;3;2;5;5;2,726;1;0;1;3;2;2;3;1;1;6;3;1;0;2;3;3;0,48;7;1,072;1;8;2;4;1;0;1;3;1;2;2;7;4;2;4;3;3;4;8;6;3;2;3;15;5;5;5;5;10;2;1;5;5;8;9;10;3;8;2;0;3;6;1;9;1;0;3;5;15;6;6;3;0;6;10;9;6;14;20;16;17;0;69,952;34,024;24;30;97;13;63
14.05.2005;0,332;1,346;2,016;0,302;1;2,59;0;2;0;1;0;3;2;2;3;4;2,274;1;0;4;4;2;3;1;0;2;5;0;1;0;3;0;2;0,402;8;2,042;3;2;1;5;0;0;2;1;2;0;2;5;1;1;0;2;3;1;4;4;2;1;2;2;3;1;2;3;0;0;0;3;7;7;10;4;0;4;1;0;7;6;4;8;3;0;3;11;7;4;2;12;5;10;10;13;13;0;36;11;12;0;35,366;31,626;20;0;80;12;94
15.05.2005;0;0,556;0,882;0;4;1,708;1;1;1;2;2;4;4;1;1;1;1,634;1;0;2;1;0;2;0;0;1;4;0;4;1;2;1;1;0,858;0;0,878;0;3;0;1;0;0;0;0;1;4;4;0;2;3;1;4;2;0;2;3;1;0;0;0;0;9;12;3;1;1;0;4;3;8;5;7;4;1;3;0;4;8;2;2;5;0;2;9;13;6;1;2;3;9;3;9;12;6;16;9;15;0;37,898;43,726;20;0;64;6;105
16.05.2005;0,438;0,671;0,314;1,486;2;2,79;3;0;2;1;0;0;2;1;4;1;1,654;0;0;2;0;0;1;0;3;1;7;2;0;0;4;5;2;2,914;2;2,074;1;1;2;1;0;0;2;2;4;4;3;1;6;6;6;3;2;0;0;0;3;2;1;4;10;3;5;2;9;2;0;10;1;1;5;7;6;1;3;0;8;7;0;9;4;0;1;6;9;8;4;5;4;9;19;13;10;18;7;11;11;0;49,566;34,548;23;0;43;4;51
17.05.2005;0;0;0,69;0,472;1;0,282;1;1;0;1;3;1;0;1;2;1;3,53;1;0;0;0;1;1;0;1;2;4;0;3;1;1;2;1;1,036;1;1,184;2;1;2;4;1;0;2;1;2;3;1;1;3;1;3;1;2;1;0;0;0;1;0;9;0;0;13;4;1;0;0;6;1;3;9;4;9;0;0;0;4;5;2;3;2;0;5;6;8;5;5;3;9;6;14;15;3;11;20;6;12;0;43,498;22,344;19;30;75;5;81
18.05.2005;0,73;0;0,912;0,386;1;5,438;5;3;0;1;1;2;3;0;1;0;2,628;5;0;0;0;2;2;2;2;0;5;1;0;3;3;1;4;1,76;5;2,134;3;0;1;7;2;6;2;1;3;4;5;1;3;4;7;0;2;2;10;1;4;1;4;8;1;3;1;5;4;0;0;8;9;3;3;5;1;0;1;0;8;1;7;5;2;0;1;5;9;9;4;5;11;6;8;22;2;6;21;5;14;0;46,41;22,816;19;22;44;36;91
19.05.2005;0,338;0,319;1,268;0,228;3;3,272;2;2;3;1;1;5;3;0;1;0;2,346;1;0;1;1;1;2;1;1;2;2;1;3;2;5;3;2;1,028;2;2,088;1;4;0;1;4;3;2;5;1;4;1;2;3;2;1;0;2;3;4;6;3;6;3;16;6;4;1;3;4;0;0;4;6;6;4;9;4;0;3;0;10;8;6;9;3;0;10;7;2;7;2;9;2;13;4;1;6;13;0;6;21;0;32,976;33,542;20;20;61;12;110
20.05.2005;0,338;0,504;2,268;1,102;2;6,36;3;1;1;4;1;1;2;0;2;1;3,58;3;0;1;1;2;7;0;4;1;4;2;5;0;3;0;3;0,714;1;1,66;3;1;4;6;2;3;1;5;2;6;1;2;0;4;6;6;2;5;2;0;4;4;3;14;1;2;12;5;9;0;0;3;2;8;12;7;6;7;7;0;1;6;10;2;4;0;7;8;8;3;6;6;14;16;19;7;11;22;0;11;14;0;68,566;46,424;15;21;59;10;150
21.05.2005;0,098;0;1,344;0;0;1,51;0;4;0;2;1;1;3;1;2;2;1,678;2;0;1;5;1;4;0;3;1;8;1;1;1;2;3;2;4,448;3;2,374;5;1;2;3;0;5;3;0;0;2;1;4;2;0;0;2;2;2;2;2;6;1;0;6;0;8;4;4;2;0;2;8;1;5;8;11;0;6;5;0;5;2;7;2;7;0;6;5;16;8;2;4;13;9;11;13;18;5;0;5;16;0;47,244;38,2;21;29;90;5;130
