
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/LambdaMART_1000_10.txt

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
1       | 0.7123    | 0.5883    | 
2       | 0.7213    | 0.591     | 
3       | 0.7243    | 0.5769    | 
4       | 0.7307    | 0.5778    | 
5       | 0.7522    | 0.5887    | 
6       | 0.7497    | 0.5915    | 
7       | 0.7627    | 0.5905    | 
8       | 0.7618    | 0.5895    | 
9       | 0.7669    | 0.5857    | 
10      | 0.7701    | 0.5921    | 
11      | 0.7712    | 0.589     | 
12      | 0.7709    | 0.5944    | 
13      | 0.7744    | 0.601     | 
14      | 0.7778    | 0.6066    | 
15      | 0.7789    | 0.6096    | 
16      | 0.7886    | 0.6136    | 
17      | 0.7853    | 0.6114    | 
18      | 0.7877    | 0.6117    | 
19      | 0.7894    | 0.6122    | 
20      | 0.7905    | 0.6116    | 
21      | 0.7932    | 0.6099    | 
22      | 0.7938    | 0.6147    | 
23      | 0.7947    | 0.6172    | 
24      | 0.7964    | 0.6152    | 
25      | 0.7976    | 0.6171    | 
26      | 0.8021    | 0.6155    | 
27      | 0.8048    | 0.6183    | 
28      | 0.8079    | 0.6257    | 
29      | 0.8075    | 0.6216    | 
30      | 0.8081    | 0.6212    | 
31      | 0.814     | 0.6255    | 
32      | 0.8162    | 0.6249    | 
33      | 0.8162    | 0.6237    | 
34      | 0.8182    | 0.6266    | 
35      | 0.8176    | 0.6318    | 
36      | 0.8195    | 0.6292    | 
37      | 0.8209    | 0.6305    | 
38      | 0.8199    | 0.6313    | 
39      | 0.8242    | 0.633     | 
40      | 0.8257    | 0.6349    | 
41      | 0.8282    | 0.635     | 
42      | 0.8277    | 0.6359    | 
43      | 0.8301    | 0.6348    | 
44      | 0.8316    | 0.6316    | 
45      | 0.834     | 0.6304    | 
46      | 0.8347    | 0.6288    | 
47      | 0.8358    | 0.6287    | 
48      | 0.8386    | 0.6284    | 
49      | 0.8389    | 0.6268    | 
50      | 0.8387    | 0.6281    | 
51      | 0.8401    | 0.6295    | 
52      | 0.8413    | 0.6307    | 
53      | 0.8422    | 0.6316    | 
54      | 0.8421    | 0.6303    | 
55      | 0.8426    | 0.633     | 
56      | 0.8425    | 0.6351    | 
57      | 0.8428    | 0.6361    | 
58      | 0.8434    | 0.6347    | 
59      | 0.8446    | 0.6333    | 
60      | 0.8456    | 0.633     | 
61      | 0.8458    | 0.6343    | 
62      | 0.8467    | 0.6334    | 
63      | 0.8461    | 0.6353    | 
64      | 0.8466    | 0.6354    | 
65      | 0.8472    | 0.6337    | 
66      | 0.8472    | 0.6345    | 
67      | 0.8471    | 0.6295    | 
68      | 0.8472    | 0.6293    | 
69      | 0.8475    | 0.6293    | 
70      | 0.8477    | 0.6301    | 
71      | 0.8495    | 0.6312    | 
72      | 0.8492    | 0.6303    | 
73      | 0.8513    | 0.6323    | 
74      | 0.8517    | 0.6334    | 
75      | 0.8515    | 0.6336    | 
76      | 0.8518    | 0.6328    | 
77      | 0.8529    | 0.632     | 
78      | 0.8527    | 0.6319    | 
79      | 0.8537    | 0.6335    | 
80      | 0.8541    | 0.6347    | 
81      | 0.8557    | 0.6335    | 
82      | 0.8563    | 0.6353    | 
83      | 0.8567    | 0.6377    | 
84      | 0.8575    | 0.637     | 
85      | 0.8579    | 0.6381    | 
86      | 0.8578    | 0.6372    | 
87      | 0.8582    | 0.6365    | 
88      | 0.8582    | 0.6379    | 
89      | 0.8585    | 0.6373    | 
90      | 0.8585    | 0.6367    | 
91      | 0.8593    | 0.6366    | 
92      | 0.8591    | 0.6356    | 
93      | 0.8602    | 0.6359    | 
94      | 0.8608    | 0.6363    | 
95      | 0.861     | 0.6398    | 
96      | 0.8616    | 0.6388    | 
97      | 0.8613    | 0.6374    | 
98      | 0.8613    | 0.6361    | 
99      | 0.8622    | 0.6367    | 
100     | 0.8611    | 0.6362    | 
101     | 0.8618    | 0.6357    | 
102     | 0.8622    | 0.6361    | 
103     | 0.8621    | 0.6359    | 
104     | 0.862     | 0.6392    | 
105     | 0.8628    | 0.6387    | 
106     | 0.8629    | 0.6389    | 
107     | 0.8629    | 0.639     | 
108     | 0.8632    | 0.6389    | 
109     | 0.8635    | 0.6397    | 
110     | 0.8635    | 0.6401    | 
111     | 0.8633    | 0.6397    | 
112     | 0.864     | 0.6405    | 
113     | 0.8641    | 0.6383    | 
114     | 0.8642    | 0.6394    | 
115     | 0.8642    | 0.6392    | 
116     | 0.8641    | 0.6413    | 
117     | 0.8645    | 0.6396    | 
118     | 0.8644    | 0.6375    | 
