
[+] General Parameters:
Training data:	./data/train.txt
Test data:	./data/test.txt
Validation data:	./data/valid.txt
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No
Model file: ./model/RankNet_3_30.txt

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 3
No. of hidden nodes per layer: 30
Learning rate: 5.0E-5

Reading feature file [./data/train.txt]: 0... Reading feature file [./data/train.txt]... [Done.]            
(104 ranked lists, 1305 entries read)
Reading feature file [./data/valid.txt]: 0... Reading feature file [./data/valid.txt]... [Done.]            
(105 ranked lists, 975 entries read)
Reading feature file [./data/test.txt]: 0... Reading feature file [./data/test.txt]... [Done.]            
(76 ranked lists, 655 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@10-T | NDCG@10-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.1709         | 0.6483    | 0.5652    | 
2       | 0.1704         | 0.6485    | 0.5652    | 
3       | 0.1704         | 0.6485    | 0.5652    | 
4       | 0.1704         | 0.6485    | 0.5652    | 
5       | 0.1704         | 0.6485    | 0.5652    | 
6       | 0.1704         | 0.6485    | 0.5653    | 
7       | 0.1704         | 0.6485    | 0.5653    | 
8       | 0.1704         | 0.6485    | 0.5653    | 
9       | 0.1702         | 0.6485    | 0.5653    | 
10      | 0.1702         | 0.6485    | 0.5653    | 
11      | 0.1704         | 0.6485    | 0.5653    | 
12      | 0.1699         | 0.6487    | 0.5652    | 
13      | 0.1699         | 0.6487    | 0.5652    | 
14      | 0.1699         | 0.6487    | 0.565     | 
15      | 0.1699         | 0.6487    | 0.565     | 
16      | 0.1699         | 0.6487    | 0.5649    | 
17      | 0.1699         | 0.6487    | 0.5649    | 
18      | 0.1699         | 0.6487    | 0.5652    | 
19      | 0.1699         | 0.6487    | 0.5652    | 
20      | 0.1699         | 0.6487    | 0.5652    | 
21      | 0.1699         | 0.6487    | 0.5652    | 
22      | 0.1699         | 0.6487    | 0.5652    | 
23      | 0.1699         | 0.6487    | 0.5652    | 
24      | 0.1697         | 0.6487    | 0.5652    | 
25      | 0.1697         | 0.6487    | 0.5652    | 
26      | 0.1697         | 0.6487    | 0.5652    | 
27      | 0.1694         | 0.6487    | 0.5652    | 
28      | 0.1694         | 0.6487    | 0.5652    | 
29      | 0.1694         | 0.6487    | 0.5654    | 
30      | 0.1694         | 0.6487    | 0.5654    | 
31      | 0.1694         | 0.6487    | 0.5654    | 
32      | 0.1694         | 0.6487    | 0.5654    | 
33      | 0.1694         | 0.6487    | 0.5654    | 
34      | 0.1694         | 0.6487    | 0.5654    | 
35      | 0.1692         | 0.6487    | 0.5654    | 
36      | 0.1689         | 0.6487    | 0.5654    | 
37      | 0.1689         | 0.6487    | 0.5654    | 
38      | 0.1689         | 0.6487    | 0.5654    | 
39      | 0.1689         | 0.6487    | 0.5654    | 
40      | 0.1689         | 0.6487    | 0.5654    | 
41      | 0.1687         | 0.6488    | 0.5654    | 
42      | 0.1687         | 0.6488    | 0.5654    | 
43      | 0.1687         | 0.6488    | 0.5654    | 
44      | 0.1684         | 0.6488    | 0.5654    | 
45      | 0.1684         | 0.6488    | 0.5654    | 
46      | 0.1687         | 0.6484    | 0.5654    | 
47      | 0.1687         | 0.6484    | 0.5661    | 
48      | 0.1687         | 0.6484    | 0.5661    | 
49      | 0.1687         | 0.6484    | 0.5661    | 
50      | 0.1687         | 0.6484    | 0.5661    | 
51      | 0.1687         | 0.6485    | 0.5661    | 
52      | 0.1687         | 0.6485    | 0.5661    | 
53      | 0.1684         | 0.6485    | 0.5661    | 
54      | 0.1684         | 0.6485    | 0.5661    | 
55      | 0.1684         | 0.6485    | 0.5661    | 
56      | 0.1684         | 0.6485    | 0.5661    | 
57      | 0.1682         | 0.6486    | 0.5663    | 
58      | 0.1682         | 0.6486    | 0.5663    | 
59      | 0.1682         | 0.6486    | 0.5663    | 
60      | 0.1679         | 0.6487    | 0.5663    | 
61      | 0.1679         | 0.6486    | 0.5663    | 
62      | 0.1679         | 0.6487    | 0.5663    | 
63      | 0.1679         | 0.6487    | 0.5663    | 
64      | 0.1679         | 0.6487    | 0.5663    | 
65      | 0.1679         | 0.6487    | 0.5663    | 
66      | 0.1682         | 0.6487    | 0.5659    | 
67      | 0.1682         | 0.6487    | 0.5658    | 
68      | 0.1682         | 0.6487    | 0.5658    | 
69      | 0.1679         | 0.6487    | 0.5658    | 
70      | 0.1679         | 0.6487    | 0.5658    | 
71      | 0.1679         | 0.6487    | 0.5658    | 
72      | 0.1679         | 0.6487    | 0.5658    | 
73      | 0.1679         | 0.6487    | 0.5658    | 
